Date,Random_Number,Category,Text,Trend_Variable
2020-07-02,217.8372624877818,A,Sit,-94
2020-06-30,960.6904580772922,B,Ipsum,-7
2022-06-02,961.2504674630164,E,Sit,-2
2021-01-18,259.25557819646815,B,Amet,30
2022-04-19,368.83383901342137,E,Amet,58
2022-05-15,276.32796187017306,C,Sit,-6
2021-09-26,147.34787627767332,D,Dolor,5
2021-08-27,81.99133481211574,A,Ipsum,-81
2022-08-07,322.0129923046614,E,Ipsum,55
2021-01-02,899.6460941061965,C,Lorem,40
2022-07-01,553.940277444203,E,Amet,-40
2022-07-22,297.1615096831759,C,Sit,64
2021-04-23,571.5110440945263,B,Lorem,-82
2022-08-30,963.0036525457213,B,Amet,32
2020-07-04,655.8661780653632,D,Amet,-69
2021-12-08,858.4025376102626,C,Lorem,32
2020-05-17,705.3771723775376,B,Amet,74
2022-06-17,278.81327726413207,D,Sit,-53
2022-05-30,460.3994173789203,C,Dolor,24
2021-02-19,675.6592736993888,C,Dolor,-24
2021-02-13,250.49116349083235,B,Lorem,-6
2020-02-19,138.0116436836235,B,Lorem,97
2020-04-20,135.91833355014015,B,Sit,-68
2021-01-17,521.8055207620803,E,Dolor,45
2020-05-08,825.6309726969773,E,Lorem,-100
2021-09-07,143.60074060400152,E,Dolor,16
2020-04-23,848.681075123882,A,Ipsum,-38
2020-07-22,803.8797107489473,C,Ipsum,-90
2020-10-30,531.0053382074951,D,Lorem,18
2022-01-21,124.73161022919155,E,Ipsum,48
2020-09-14,996.3458379563424,A,Dolor,5
2022-03-05,453.2455738420668,A,Lorem,47
2020-11-16,121.30189157204497,C,Sit,-87
2021-11-02,984.9238981536506,E,Amet,95
2021-03-20,453.06359546447385,A,Lorem,30
2020-03-20,54.06903673356644,C,Dolor,78
2021-10-27,355.52697053626747,C,Lorem,97
2022-09-18,799.8506315724526,A,Dolor,35
2021-08-16,574.8739784631896,C,Ipsum,40
2022-07-01,347.6482491970538,C,Sit,29
2020-09-08,496.3153168747906,D,Ipsum,31
2020-02-23,311.72868271653556,A,Ipsum,41
2022-04-09,431.4209100903411,B,Sit,-76
2022-02-18,743.2586965927333,A,Dolor,78
2022-09-12,452.67911127904847,B,Dolor,20
2021-05-08,689.8979151251077,B,Lorem,22
2020-05-23,957.4985611340114,E,Sit,39
2020-12-29,959.700035352689,A,Ipsum,-69
2022-02-20,543.6711106657847,A,Sit,8
2021-11-12,606.1825032862364,E,Lorem,95
2022-05-27,806.4171366124438,D,Ipsum,-39
2021-10-21,777.1598495824098,C,Dolor,-4
2022-07-25,474.43736119664624,E,Dolor,90
2020-12-19,369.8938059928475,D,Ipsum,48
2020-10-30,69.66973357349404,A,Sit,-16
2021-11-14,563.9028687640506,A,Lorem,50
2022-09-26,642.3498627395177,D,Sit,-9
2021-06-13,435.7575533867244,A,Sit,62
2020-10-09,223.23317299064894,E,Sit,-89
2020-08-02,591.8936332199839,E,Ipsum,93
2020-02-03,926.5928907217183,D,Sit,-15
2021-10-23,11.028260556306346,D,Dolor,-83
2020-06-26,224.81513432282685,C,Ipsum,-98
2022-01-04,940.4681008092501,B,Lorem,-48
2020-12-11,103.40848636949573,D,Lorem,-3
2022-07-03,709.251527131764,C,Sit,-26
2020-08-05,410.44338116626386,D,Lorem,-33
2022-08-05,218.44796848432492,E,Lorem,-27
2020-01-05,971.0656419099947,D,Amet,85
2022-08-11,665.8921219982766,D,Dolor,-52
2020-03-08,606.3847568129515,D,Amet,35
2020-11-01,11.557957376589378,C,Dolor,8
2021-02-11,567.8712834809752,C,Sit,55
2021-11-19,679.247420899622,D,Dolor,93
2020-09-26,711.4758731778791,A,Ipsum,20
2021-08-17,268.01234298209073,D,Dolor,-20
2022-05-01,541.6777599930912,B,Dolor,-89
2022-07-26,288.7026335726076,A,Ipsum,22
2021-06-30,404.53729332819086,C,Dolor,74
2022-09-22,801.9577781588296,B,Ipsum,-32
2020-08-23,943.7874201050029,C,Ipsum,-100
2022-05-30,169.7823492187891,A,Ipsum,-69
2020-05-13,862.4841715387455,A,Lorem,-98
2021-09-08,819.2535111035315,D,Lorem,-54
2020-04-03,382.7202858844493,A,Lorem,-73
2022-03-24,348.3729552780632,C,Lorem,-52
2020-10-06,626.6867248815773,D,Amet,-36
2022-09-05,669.543318373345,B,Dolor,95
2020-06-08,422.22347889275136,A,Ipsum,8
2020-06-19,683.986481984639,A,Sit,7
2020-02-25,367.23926845208456,D,Ipsum,-6
2022-04-04,998.1596947160808,A,Lorem,24
2020-05-21,826.7220657306659,B,Lorem,-48
2021-09-05,111.60482963362406,C,Lorem,16
2020-08-28,769.4870611817624,B,Sit,37
2020-06-01,744.5040626015357,B,Amet,18
2020-03-30,258.0129607011096,E,Sit,-8
2021-04-15,15.072033360280956,C,Amet,74
2021-01-24,249.55856328939373,E,Amet,49
2020-07-08,314.1801431824938,D,Dolor,16
2021-11-30,583.4288281732837,E,Lorem,28
2021-10-16,990.530471117788,D,Ipsum,70
2021-02-18,931.9593945657887,D,Amet,-49
2020-11-02,299.2303151053659,E,Amet,-27
2020-08-26,139.78741004434613,B,Ipsum,-33
2022-05-29,554.5135790057595,D,Ipsum,83
2021-11-20,459.3405443799158,E,Amet,32
2022-07-14,314.55611516504945,E,Amet,25
2022-05-07,484.9629435901958,C,Dolor,35
2021-03-09,234.96443313955984,D,Dolor,24
2020-12-11,302.94705151954224,B,Sit,30
2020-01-22,695.6231056553523,D,Lorem,-65
2021-03-08,32.934852291230385,D,Ipsum,-31
2020-10-14,740.8702653174513,C,Amet,-35
2020-12-21,63.44189305377756,C,Sit,70
2021-06-19,37.407323588289685,A,Amet,-19
2021-04-18,727.4488515348582,E,Dolor,-96
2022-03-09,955.6596722080499,B,Ipsum,48
2022-01-23,941.8759397370941,B,Amet,30
2020-10-28,849.5521357486937,A,Ipsum,12
2020-08-14,758.6041061900041,E,Amet,-21
2021-10-28,820.1849609040192,C,Dolor,56
2020-09-12,207.97374701177475,B,Ipsum,-29
2022-07-08,494.9387093965336,C,Ipsum,-23
2021-03-04,552.50100946503,B,Sit,-41
2021-08-06,175.0536906392397,C,Amet,96
2020-11-08,49.72313969893705,D,Lorem,15
2022-03-12,551.4353320473858,C,Ipsum,-12
2020-05-26,292.34745698141154,D,Sit,-12
2020-11-01,237.99240168359225,E,Sit,-45
2021-12-13,532.997239941426,B,Amet,74
2022-09-07,148.34229222612538,A,Sit,75
2022-08-30,82.38001975332398,E,Dolor,43
2021-04-01,52.29655187151128,D,Ipsum,-81
2022-04-08,322.5959919265321,D,Lorem,-68
2021-10-21,569.9839731747528,C,Sit,-72
2020-05-16,155.07183440961126,B,Amet,27
2021-02-19,270.3098932367771,D,Ipsum,7
2020-04-06,403.966757772517,E,Sit,55
2020-07-23,229.20559286549303,B,Lorem,-72
2022-08-27,846.8317780779819,C,Dolor,-23
2021-11-12,546.6527207604227,C,Sit,-67
2020-07-16,202.96160310973843,B,Amet,-73
2022-06-28,221.2117942914853,A,Lorem,-25
2022-06-04,482.06780543914795,D,Sit,-86
